Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Jagdalpur,12th Pass,Customer Support,Part Time,Small,45 Days,2,12000
Jagdalpur,BA,HR Executive,Part Time,Large,15 Days,1,27000
Rajnandgaon,BA,Account Manager,Full Time,Large,15 Days,4,75000
Chirmiri,12th Pass,Computer Operator,Full Time,Large,Immediately,0,17000
Bemetra,BA,HR Executive,Full Time,Medium,45 Days,4,39000
Bhatapara,BCA,Account Manager,Full Time,Medium,3 Months,11,114000
Durg,BCA,HR Executive,Full Time,Large,45 Days,12,113000
Manendragarh,BCA,HR Executive,Full Time,Small,3 Months,15,94000
Durg,10th Pass,Customer Support,Contract,Small,45 Days,8,15000
Ambikapur,MBA,Account Manager,Full Time,Small,45 Days,8,150000
Mungeli,MA,Account Manager,Full Time,Medium,Immediately,4,104000
Bemetra,BA,Business Analyst,Full Time,Medium,3 Months,6,68000
Mahasamund,12th Pass,Computer Operator,Full Time,Small,15 Days,4,17000
Bhilai,BCA,Sales Executive,Full Time,Large,2 Months,11,120000
Mahasamund,Diploma,Accountant,Full Time,Medium,45 Days,0,30000
Durg,BCA,Sales Executive,Full Time,Small,2 Months,3,56000
Rajnandgaon,Diploma,Accountant,Full Time,Medium,2 Months,7,56000
Chirmiri,BBA,HR Executive,Contract,Medium,45 Days,10,69000
Jagdalpur,10th Pass,Sales Executive,Full Time,Small,30 Days,1,14000
Tilda Newra,B.Com,MIS Executive,Full Time,Small,45 Days,3,50000
Bhilai,BBA,Digital Marketing Executive,Full Time,Small,30 Days,10,93000
Bilaspur,10th Pass,Computer Operator,Full Time,Medium,3 Months,5,13000
Ambikapur,M.Com,Account Manager,Full Time,Medium,3 Months,7,150000
Durg,M.Com,Business Analyst,Full Time,Small,45 Days,9,144000
Ambikapur,10th Pass,Customer Support,Full Time,Medium,30 Days,0,12000
Bilaspur,MBA,Account Manager,Full Time,Large,15 Days,5,150000
Bilaspur,MBA,Account Manager,Full Time,Large,30 Days,9,150000
Bemetra,BBA,Sales Executive,Full Time,Small,30 Days,3,54000
Ambikapur,BCA,Digital Marketing Executive,Full Time,Medium,2 Months,5,84000
Bhilai,12th Pass,Accountant,Full Time,Small,30 Days,4,24000
Rajnandgaon,12th Pass,Computer Operator,Part Time,Medium,2 Months,8,17000
Bhilai,M.Com,Digital Marketing Executive,Full Time,Small,3 Months,9,123000
Ambikapur,BCA,Digital Marketing Executive,Full Time,Large,3 Months,5,94000
Mahasamund,BA,Account Manager,Full Time,Small,30 Days,7,64000
Korba,BA,Sales Executive,Full Time,Large,15 Days,1,46000
Raigarh,10th Pass,Customer Support,Full Time,Large,Immediately,0,15000
Jagdalpur,BA,Digital Marketing Executive,Intern,Small,3 Months,15,31000
Jagdalpur,B.Com,HR Executive,Full Time,Medium,2 Months,10,64000
Dhamtari,MBA,Digital Marketing Executive,Full Time,Small,2 Months,8,144000
Mungeli,12th Pass,Computer Operator,Full Time,Medium,3 Months,10,25000
Bhilai,BCA,Account Manager,Full Time,Large,45 Days,4,105000
Ambikapur,M.Com,Account Manager,Full Time,Small,Immediately,10,150000
Mahasamund,BBA,Digital Marketing Executive,Full Time,Large,30 Days,1,69000
Dhamtari,BCA,Business Analyst,Full Time,Large,45 Days,5,132000
Manendragarh,Diploma,Content Writer,Full Time,Small,15 Days,4,29000
